ano,sexo,gr_et,edad_grupo,conteo_defunciones
2000,2,10,17,26
2000,2,11,18,20
2000,2,12,19,29
2000,2,13,20,28
2000,2,14,21,36
2000,2,15,22,29
2000,2,16,23,47
2000,2,17,24,26
2000,2,17,25,30
2001,1,1,5,2
2001,1,1,6,2
2001,1,1,7,3
2001,1,1,8,2
2001,1,2,9,7
2001,1,3,10,4
2001,1,4,11,9
2001,1,5,12,24
2001,1,6,13,28
2001,1,7,14,37
2001,1,8,15,45
2001,1,9,16,64
2001,1,10,17,83
2001,1,11,18,86
2001,1,12,19,65
2001,1,13,20,91
2001,1,14,21,78
2001,1,15,22,82
2001,1,16,23,56
2001,1,17,24,60
2001,1,17,25,39
2001,2,1,6,5
2001,2,1,7,2
2001,2,1,8,6
2001,2,2,9,5
2001,2,3,10,7
2001,2,4,11,12
2001,2,5,12,16
2001,2,6,13,22
2001,2,7,14,21
2001,2,8,15,20
2001,2,9,16,32
2001,2,10,17,27
2001,2,11,18,37
2001,2,12,19,32
2001,2,13,20,44
2001,2,14,21,34
2001,2,15,22,47
2001,2,16,23,40
2001,2,17,24,24
2001,2,17,25,21
2002,1,1,6,5
2002,1,1,7,5
2002,1,1,8,8
2002,1,2,9,7
2002,1,3,10,1
2002,1,4,11,15
2002,1,5,12,27
2002,1,6,13,15
2002,1,7,14,41
2002,1,8,15,42
2002,1,9,16,59
2002,1,10,17,93
2002,1,11,18,74
2002,1,12,19,64
2002,1,13,20,88
2002,1,14,21,70
2002,1,15,22,89
2002,1,16,23,70
2002,1,17,24,51
2002,1,17,25,45
2002,2,1,5,4
2002,2,1,6,5
2002,2,1,7,6
2002,2,1,8,3
2002,2,2,9,5
2002,2,3,10,2
2002,2,4,11,14
2002,2,5,12,24
2002,2,6,13,13
2002,2,7,14,28
2002,2,8,15,29
2002,2,9,16,35
2002,2,10,17,32
2002,2,11,18,27
2002,2,12,19,18
2002,2,13,20,37
2002,2,14,21,47
2002,2,15,22,29
2002,2,16,23,37
2002,2,17,24,25
2002,2,17,25,28
2003,1,1,5,2
2003,1,1,6,2
2003,1,1,7,4
2003,1,1,8,7
2003,1,2,9,2
2003,1,3,10,5
2003,1,4,11,9
2003,1,5,12,24
2003,1,6,13,19
2003,1,7,14,31
2003,1,8,15,32
2003,1,9,16,71
2003,1,10,17,67
2003,1,11,18,83
2003,1,12,19,67
2003,1,13,20,67
2003,1,14,21,88
2003,1,15,22,92
2003,1,16,23,84
2003,1,17,24,55
2003,1,17,25,43
2003,2,1,5,4
2003,2,1,6,2
2003,2,1,7,3
2003,2,1,8,5
2003,2,2,9,6
2003,2,3,10,6
2003,2,4,11,10
2003,2,5,12,16
2003,2,6,13,16
2003,2,7,14,18
2003,2,8,15,29
2003,2,9,16,31
2003,2,10,17,29
2003,2,11,18,27
2003,2,12,19,19
2003,2,13,20,32
2003,2,14,21,32
2003,2,15,22,39
2003,2,16,23,39
2003,2,17,24,37
2003,2,17,25,35
2004,1,1,5,3
2004,1,1,7,1
2004,1,1,8,10
2004,1,3,10,3
2004,1,4,11,8
2004,1,5,12,27
2004,1,6,13,24
2004,1,7,14,25
2004,1,8,15,43
2004,1,9,16,50
2004,1,10,17,64
2004,1,11,18,79
2004,1,12,19,58
2004,1,13,20,88
2004,1,14,21,94
2004,1,15,22,93
2004,1,16,23,67
2004,1,17,24,57
2004,1,17,25,47
2004,2,1,5,2
2004,2,1,6,3
2004,2,1,7,4
2004,2,1,8,4
2004,2,2,9,3
2004,2,3,10,1
2004,2,4,11,5
2004,2,5,12,19
2004,2,6,13,15
2004,2,7,14,18
2004,2,8,15,30
2004,2,9,16,27
2004,2,10,17,25
2004,2,11,18,18
2004,2,12,19,24
2004,2,13,20,26
2004,2,14,21,38
2004,2,15,22,40
2004,2,16,23,36
2004,2,17,24,26
2004,2,17,25,28
2005,1,1,5,1
2005,1,1,6,4
2005,1,1,7,3
2005,1,1,8,4
2005,1,2,9,7
2005,1,3,10,5
2005,1,4,11,8
2005,1,5,12,16
2005,1,6,13,12
2005,1,7,14,23
