ano,sexo,edad,poblacion
2003,hombre,26,315272
2004,hombre,26,323501
2005,hombre,26,332376
2006,hombre,26,340884
2007,hombre,26,347873
2008,hombre,26,352719
2009,hombre,26,355958
2010,hombre,26,3581
2011,hombre,26,360307
2012,hombre,26,36295
2013,hombre,26,366734
2014,hombre,26,371566
2015,hombre,26,377378
2016,hombre,26,384584
2017,hombre,26,392578
1979,hombre,27,215703
1980,hombre,27,222236
1981,hombre,27,229109
1982,hombre,27,236321
1983,hombre,27,243732
1984,hombre,27,251414
1985,hombre,27,260954
1986,hombre,27,269413
1987,hombre,27,277467
1988,hombre,27,285044
1989,hombre,27,291932
1990,hombre,27,297733
1991,hombre,27,302108
1992,hombre,27,305005
1993,hombre,27,306599
1994,hombre,27,306858
1995,hombre,27,306402
1996,hombre,27,305039
1997,hombre,27,303189
1998,hombre,27,301295
1999,hombre,27,299462
2000,hombre,27,298267
2001,hombre,27,29861
2002,hombre,27,301134
2003,hombre,27,305646
2004,hombre,27,312396
2005,hombre,27,320693
2006,hombre,27,329891
2007,hombre,27,338448
2008,hombre,27,345397
2009,hombre,27,350313
2010,hombre,27,35372
2011,hombre,27,355902
2012,hombre,27,358008
2013,hombre,27,360503
2014,hombre,27,364256
2015,hombre,27,369282
2016,hombre,27,375791
2017,hombre,27,3839
1979,hombre,28,207007
1980,hombre,28,213456
1981,hombre,28,219947
1982,hombre,28,226783
1983,hombre,28,233981
1984,hombre,28,241394
1985,hombre,28,250817
1986,hombre,28,259128
1987,hombre,28,267462
1988,hombre,28,275367
1989,hombre,28,282731
1990,hombre,28,289348
1991,hombre,28,294922
1992,hombre,28,299191
1993,hombre,28,302051
1994,hombre,28,303553
1995,hombre,28,303909
1996,hombre,28,303542
1997,hombre,28,302248
1998,hombre,28,300418
1999,hombre,28,298528
2000,hombre,28,296673
2001,hombre,28,295426
2002,hombre,28,295724
2003,hombre,28,298252
2004,hombre,28,302846
2005,hombre,28,309653
2006,hombre,28,318292
2007,hombre,28,327528
2008,hombre,28,336052
2009,hombre,28,343053
2010,hombre,28,348132
2011,hombre,28,351581
2012,hombre,28,353641
2013,hombre,28,355643
2014,hombre,28,35813
2015,hombre,28,362078
2016,hombre,28,367793
2017,hombre,28,375196
1979,hombre,29,202151
1980,hombre,29,204904
1981,hombre,29,211311
1982,hombre,29,217764
1983,hombre,29,224581
1984,hombre,29,231781
1985,hombre,29,240852
1986,hombre,29,249042
1987,hombre,29,25725
1988,hombre,29,265433
1989,hombre,29,273135
1990,hombre,29,280246
1991,hombre,29,286636
1992,hombre,29,29211
1993,hombre,29,296377
1994,hombre,29,299083
1995,hombre,29,30068
1996,hombre,29,301116
1997,hombre,29,300813
1998,hombre,29,299541
1999,hombre,29,297714
2000,hombre,29,295806
2001,hombre,29,293909
2002,hombre,29,292621
2003,hombre,29,292938
2004,hombre,29,295552
2005,hombre,29,300224
2006,hombre,29,30735
