dataset,year,age,obs_tasa_x100k,pred_tasa_x100k,abs_error_100k,rel_abs_error
train,1999,14,16.561192301523246,14.625551223754883,1.9356410777683628,0.11687812341809545
train,1999,15,21.73343852089403,19.202680587768555,2.530757933125475,0.11644535358233103
train,1999,16,27.706445083516968,24.959272384643555,2.7471726988734133,0.0991528393697701
train,1999,17,41.49802621729734,27.721590042114258,13.776436175183079,0.33197810669463623
train,2000,1,0.6496610161626379,0.5262575149536133,0.12340350120902466,0.18995060214285897
train,2000,2,0.16483262894856557,0.19533929228782654,0.03050666333926097,0.18507660487897212
train,2000,3,0.17672510208399275,0.1641450822353363,0.012580019848656449,0.07118411419904748
train,2000,4,0.5573705486994555,0.49311739206314087,0.06425315663631459,0.11527906665704687
train,2000,5,1.0874481735426205,0.9832413792610168,0.10420679428160362,0.0958269063453658
train,2000,6,1.7494326492727692,1.2603318691253662,0.489100780147403,0.27957679899848686
train,2000,7,1.6049534760016875,1.8005053997039795,0.19555192370229202,0.12184273664389045
train,2000,8,2.3017849295863044,2.5157272815704346,0.21394235198413014,0.09294628235422875
train,2000,9,3.5912929103388853,3.2468743324279785,0.3444185779109068,0.09590378354248763
train,2000,10,5.016934662954803,4.096796035766602,0.9201386271882015,0.18340653985038902
train,2000,11,4.705498531884458,6.016320705413818,1.3108221735293606,0.27857243279260446
train,2000,12,7.715683493018516,7.594231128692627,0.12145236432588913,0.01574097284262227
train,2000,13,10.302268559536811,10.945939064025879,0.6436705044890676,0.06247852118872976
train,2000,14,14.835220347783615,14.220090866088867,0.6151294816947477,0.041464128423721505
train,2000,15,16.26777420329406,18.46487045288086,2.1970962495867994,0.13505819678403053
train,2000,16,26.81670902394558,24.816579818725586,2.000129205219995,0.07458518505883534
train,2000,17,37.560694101727286,28.26212501525879,9.298569086468497,0.24756116224275632
train,2001,1,0.5143021585962918,0.48827633261680603,0.026025825979485773,0.050604154667498645
train,2001,2,0.2808031062439612,0.1729584038257599,0.10784470241820132,0.38405808205028186
train,2001,3,0.2743707991648151,0.15211008489131927,0.12226071427349583,0.44560395874929815
train,2001,4,0.5543841623532504,0.49173155426979065,0.06265260808345974,0.11301298330276767
train,2001,5,1.1509678488641104,0.9642899632453918,0.18667788561871856,0.1621920940735127
train,2001,6,1.6162446813428137,1.2240417003631592,0.39220298097965456,0.24266312242621613
train,2001,7,1.9065300626919692,1.7600970268249512,0.14643303586701806,0.07680604608992199
train,2001,8,2.2334474911340716,2.3749473094940186,0.14149981835994696,0.06335488921122323
train,2001,9,3.7992808277999686,3.2623000144958496,0.536980813304119,0.14133748928870954
train,2001,10,5.325659219781244,4.034027576446533,1.2916316433347106,0.24252990851102993
train,2001,11,7.4377901418441,5.807520389556885,1.630269752287215,0.2191873824343735
train,2001,12,7.49505287875709,7.4207658767700195,0.07428700198707006,0.009911471365013132
train,2001,13,13.506145296109732,10.819487571716309,2.6866577243934238,0.19892113297249078
train,2001,14,14.046599594153596,13.840579986572266,0.20601960758133053,0.01466686696665464
train,2001,15,20.836092635006583,18.133752822875977,2.7023398121306066,0.12969513331834076
train,2001,16,22.589829870343802,24.14272689819336,1.552897027849557,0.06874319270054133
train,2001,17,33.96210395233985,28.585752487182617,5.376351465157235,0.15830442874510628
train,2002,1,0.8499482475955904,0.45876404643058777,0.39118420116500263,0.46024472933635574
train,2002,2,0.27983286515740335,0.15649141371250153,0.12334145144490183,0.4407682827929545
train,2002,3,0.07387395773079879,0.14550577104091644,0.07163181331011766,0.9696490550862146
train,2002,4,0.7621103940557485,0.4720037281513214,0.29010666590442713,0.3806622612246187
train,2002,5,1.4393963341115477,0.9440439343452454,0.4953523997663023,0.34413898939912835
train,2002,6,0.8982656415316972,1.2110129594802856,0.31274731794858845,0.3481679622243509
train,2002,7,2.2806283428557825,1.6909409761428833,0.5896873667128992,0.2585635526980426
train,2002,8,2.414093135713178,2.2003355026245117,0.21375763308866613,0.08854572755554799
train,2002,9,3.615551486991707,3.1911022663116455,0.4244492206800614,0.11739542977248649
train,2002,10,5.842164348963224,4.079719066619873,1.762445282343351,0.30167677200930176
train,2002,11,5.887997462914358,5.662703037261963,0.225294425652395,0.03826333606143296
train,2002,12,6.09055918760853,7.234768390655518,1.1442092030469873,0.18786603459576184
train,2002,13,12.099295530617018,10.645216941833496,1.4540785887835224,0.12017878107893853
train,2002,14,14.384721213037722,13.539033889770508,0.8456873232672137,0.0587906648132088
train,2002,15,18.593452583544472,17.66043472290039,0.9330178606440818,0.050179914486122315
train,2002,16,24.045808388616233,23.797006607055664,0.24880178156056942,0.010346991772518108
train,2002,17,33.36699891837177,28.70272445678711,4.664274461584661,0.13978705345947026
train,2003,1,0.6927447646411601,0.43547970056533813,0.25726506407582195,0.371370636353655
train,2003,2,0.18650109720926744,0.15829622745513916,0.02820486975412828,0.1512316558777624
train,2003,3,0.2673798091297081,0.1395995169878006,0.1277802921419075,0.4778980602811425
train,2003,4,0.49662205519457503,0.45866209268569946,0.03795996250887557,0.07643632036021142
train,2003,5,1.1110956792266773,0.9233368635177612,0.18775881570891606,0.16898528112306874
train,2003,6,1.1077547899317115,1.1822199821472168,0.0744651922155053,0.06722172893518116
train,2003,7,1.6296243084073994,1.6330357789993286,0.0034114705919292554,0.0020934092442822768
train,2003,8,2.0609786134614336,2.048516273498535,0.012462339962898472,0.006046807027250906
train,2003,9,3.8220656091285923,3.113736867904663,0.7083287412239292,0.18532615963786098
train,2003,10,4.33281625383804,4.157475471496582,0.17534078234145767,0.04046808635978945
train,2003,11,6.182891041159502,5.625750541687012,0.5571404994724904,0.0901100303666224
train,2003,12,6.1405500504810355,6.935925006866455,0.7953749563854196,0.12952829141470515
train,2003,13,9.239668603886077,10.621275901794434,1.3816072979083565,0.149529962289678
train,2003,14,14.43426694973868,13.412613868713379,1.0216530810253008,0.07077969976464418
train,2003,15,20.17911661680936,16.90566062927246,3.2734559875368987,0.162219984635498
train,2003,16,26.533724795657985,23.121868133544922,3.4118566621130633,0.12858566554030348
train,2003,17,36.0244288008951,28.87178611755371,7.152642683341391,0.1985497875031809
train,2004,1,0.6534166673523504,0.42192164063453674,0.23149502671781363,0.3542839328777441
train,2004,2,0.07009429317966172,0.14747768640518188,0.07738339322552017,1.1039899214914892
train,2004,3,0.09613653695524525,0.13757868111133575,0.0414421441560905,0.4310758996337898
train,2004,4,0.33713159620659505,0.45011773705482483,0.11298614084822978,0.33513957789544135
train,2004,5,1.262661613824277,0.9128721356391907,0.3497894781850863,0.2770255105208964
train,2004,6,1.2114186457830525,1.1656086444854736,0.04581000129757884,0.03781516939416906
train,2004,7,1.4372022818761436,1.5678009986877441,0.1305987168116005,0.0908701012087347
train,2004,8,2.4598944536793463,1.935023307800293,0.5248711458790534,0.2133714091243926
train,2004,9,2.819193066396024,2.99316668510437,0.17397361870834605,0.06171043082575655
train,2004,10,3.880687605519818,4.1059956550598145,0.2253080495399966,0.05805879587407772
train,2004,11,5.255583922464422,5.411929130554199,0.15634520808977737,0.02974839911155581
train,2004,12,5.629053605065596,6.549252986907959,0.9201993818423633,0.16347319574539326
train,2004,13,10.231620554069178,10.322068214416504,0.09044766034732632,0.008840013160119186
train,2004,14,15.480566025786871,12.908517837524414,2.572048188262457,0.16614690858059594
train,2004,15,20.058728336950434,16.747373580932617,3.311354756017817,0.1650829853414867
train,2004,16,21.44354622125159,22.28571891784668,0.8421726965950889,0.03927394694448513
train,2004,17,31.607332901233104,28.567466735839844,3.03986616539326,0.09617597836844276
train,2005,1,0.6390278911096468,0.42572543025016785,0.2133024608594789,0.33379209863399517
train,2005,2,0.3288836163102782,0.13957127928733826,0.18931233702293992,0.5756210636037329
train,2005,3,0.1666912337794545,0.13108007609844208,0.03561115768101242,0.21363545564678657
train,2005,4,0.33354457823288064,0.4372829496860504,0.10373837145316978,0.31101801145281605
train,2005,5,0.7621071609766292,0.8876552581787109,0.1255480972020817,0.16473811509791997
train,2005,6,0.8205033453744729,1.091864824295044,0.27136147892057105,0.3307256215955982
train,2005,7,1.339510710225322,1.5111827850341797,0.1716720748088576,0.1281602853178024
train,2005,8,1.6520360332659372,1.8475271463394165,0.19549111307347933,0.11833344378505557
train,2005,9,2.763837944336302,2.8968770503997803,0.13303910606347813,0.04813563918827286
train,2005,10,3.963354988430374,4.089270114898682,0.12591512646830783,0.03176983309237783
train,2005,11,5.376902601324595,5.2513628005981445,0.12553980072645032,0.023347977457412072
train,2005,12,4.950018018065584,6.204683303833008,1.254665285767424,0.25346681187586484
