ano,sexo,gr_et,poblacion,conteo_defunciones,tasa_x100k,tasa,t
1987,1,4,1633978,23.0,1.4076076911684245,1.4076076911684245e-05,9
1987,1,5,1582323,35.0,2.211937764919046,2.2119377649190463e-05,9
1987,1,6,1385851,30.0,2.1647348813111944,2.1647348813111944e-05,9
1987,1,7,1142656,69.0,6.0385627870505205,6.0385627870505207e-05,9
1987,1,8,937844,79.0,8.423575775928619,8.42357577592862e-05,9
1987,1,9,768035,60.0,7.812143977813511,7.812143977813511e-05,9
1987,1,10,629813,78.0,12.384628453207538,0.00012384628453207538,9
1987,1,11,540581,97.0,17.943656917279743,0.00017943656917279743,9
1987,1,12,453241,99.0,21.842684134930426,0.00021842684134930424,9
1987,1,13,352902,95.0,26.91965474834373,0.0002691965474834373,9
1987,1,14,262780,92.0,35.01027475454753,0.0003501027475454753,9
1987,1,15,186495,94.0,50.40349607228076,0.0005040349607228076,9
1987,1,16,116485,69.0,59.23509464737949,0.0005923509464737949,9
1987,1,17,161234,63.0,39.07364451666522,0.0003907364451666522,9
1987,2,1,1970212,23.0,1.167387062915057,1.1673870629150569e-05,9
1987,2,2,1855328,14.0,0.7545835561151452,7.5458355611514516e-06,9
1987,2,3,1679128,4.0,0.23821888504033045,2.3821888504033044e-06,9
1987,2,4,1666263,14.0,0.8402034972870428,8.402034972870428e-06,9
1987,2,5,1636367,39.0,2.3833284342693295,2.3833284342693295e-05,9
1987,2,6,1453884,45.0,3.095157522883531,3.095157522883531e-05,9
1987,2,7,1204941,42.0,3.48564784499822,3.48564784499822e-05,9
1987,2,8,976610,40.0,4.095800780250048,4.0958007802500484e-05,9
1987,2,9,782059,44.0,5.626173984315761,5.626173984315761e-05,9
1987,2,10,618682,41.0,6.626990925871449,6.626990925871449e-05,9
1987,2,11,515374,44.0,8.53748927962994,8.537489279629939e-05,9
1987,2,12,435114,31.0,7.124569653010475,7.124569653010475e-05,9
1987,2,13,341131,37.0,10.84627313260888,0.0001084627313260888,9
1987,2,14,257303,44.0,17.100461323808894,0.00017100461323808894,9
1987,2,15,184813,42.0,22.725674059725236,0.00022725674059725237,9
